no,start_lon,start_lat,end_lon,end_lat,location,pmv,heat_13-value,heat_7-value,humi_feel,sun_feel,wind_feel,temp,humi,kPa,wind_speed,Block,lat,lon,depthmap,Ref,x1,y1,x2,y2,Connectivity,Entropy R3,Harmonic Mean Depth R3,Integration (HH) R3,Integration (P-value) R3,Integration (Tekl) R3,Intensity R3,Line Length,Mean Depth R3,Node Count R3,Relativised Entropy R3
1,121.5299,25.043106,121.5307,25.042894,1,2.01,-0.5,-1,0,-1,2,31.396,71.256,101.3499527,50.637,1,25.0429271,121.5305603,0,0,-469.0180554,647.8763887,-356.6759555,617.6200052,2,1.5306391,3,0.8619656,0.8619656,0.52832085,1.7493018,116.34516,2.1428571,8,1.2942394
2,121.5307,25.042894,121.5321,25.042587,2,1.92,-0.5,-1,0,-1,1,31.094,73.192,101.3457031,34.123,2,25.0427499,121.5313395,1,1,-356.6759555,617.6200052,-214.5825194,579.2345746,2,1.5491613,2.6666667,0.84912294,0.84912294,0.51139158,2.1688259,147.1869,2,7,1.0911623
3,121.5321,25.042587,121.5323,25.042443,3,1.826666667,-0.166666667,-0.333333333,0.666666667,-0.666666667,2.666666667,30.92933333,71.29133333,101.3899892,41.46566667,3,25.0424463,121.5322938,2,2,-214.5825194,579.2345746,-193.8867575,573.6437764,2,1.5491613,2.6666667,0.84912294,0.84912294,0.51139158,2.1688259,21.43762,2,7,1.0911623
4,121.5323,25.042443,121.5328,25.042313,4,1.703333333,-0.5,-1.333333333,0.666666667,-1,2,30.58033333,71.998,101.3921229,30.08633333,4,25.0423925,121.5324921,3,3,-193.8867575,573.6437764,-113.7708333,551.9208332,2,1.5306391,3,0.8619656,0.8619656,0.52832085,1.7493018,83.00872,2.1428571,8,1.2942394
5,121.5298,25.042611,121.5306,25.042403,5,2.12,0,-1,1,-1,2,31.598,72.458,101.3469696,43.914,5,25.0424483,121.5304177,29,29,-456.1036185,587.7890576,-370.8307531,561.825511,3,1.5415961,5.1063828,1.3988512,1.3988512,0.66463226,1.6700624,89.137909,2.0833333,13,1.3539122
6,121.5306,25.042403,121.5319,25.042051,6,2.21,0,-1,1,-1,1,31.769,71.602,101.3349381,23.147,6,25.0422954,121.5309931,30,30,-370.8307531,561.825511,-246.7680555,524.0513888,1,1.3055289,2.3529413,0.73918515,0.73918515,0.5041489,1.0681599,129.68591,2.5,9,1.7962018
7,121.5297,25.042171,121.5305,25.041992,7,2.4,0,-1,0,-1,2,32.293,69.808,101.34758,45.489,7,25.0420172,121.5303675,33,33,-469.0180554,537.1041665,-382.6005264,515.4275669,3,1.4390807,6.9421487,1.5448366,1.5448366,0.68307137,1.1623344,89.094696,2.3499999,21,1.7692264
8,121.5305,25.041992,121.5317,25.041706,8,2.12,-0.5,-1,0,-1,1,31.517,72.785,101.3387451,20.862,8,25.0418886,121.530908,32,32,-382.6005264,515.4275669,-266.8763888,485.598611,3,1.4176338,7.0534353,1.5517242,1.5517242,0.68380839,1.1138551,119.50666,2.3809524,22,1.8221259
9,121.5317,25.041706,121.5322,25.041697,9,1.786666667,-0.666666667,-1.666666667,1.666666667,-1,1.666666667,30.79866667,71.09833333,101.3896891,30.74466667,9,25.0416981,121.532012,31,31,-266.8763888,485.598611,-193.675,484.8930554,2,1.3386233,4.173913,1.0952908,1.0952908,0.60852319,1.0411515,73.204788,2.4615386,14,1.8866836
10,121.5322,25.04157,121.5328,25.041577,10,2.02,0.5,0.333333333,2,-1,0.666666667,31.19833333,70.32133333,101.3988775,13.75033333,10,25.0415709,121.5324018,41,41,-215.8999999,468.6652777,-138.9944444,468.6652777,2,1.4854122,4.2105265,1.1191936,1.1191936,0.60985333,1.3711498,76.905556,2.2727273,12,1.5487748
