Ref,Connectivity,Entropy R3,Harmonic Mean Depth R3,Integration (HH) R3,Integration (P-value) R3,Integration (Tekl) R3,Intensity R3,Line Length,Mean Depth R3,Node Count R3,Relativised Entropy R3,研究員,男性,女性,地點編號,進入街道時間 (Sensor),在目標地點的時間 (Sensor),熱感受_13-value,太陽輻射的強度,濕度,熱感受_7-value,風速,time,填答秒數,Period,Date_Period,Block,lat,lon
3,2,1.5306391,3,0.8619656,0.8619656,0.52832085,1.7493018,83.00872,2.1428571,8,1.2942394,閔翔,1,0,4,2647,2652,-1,-1,-1,-2,2,2024/8/16 下午 01:38:24,636,3,8163,4,25.0423925,121.5324921
2,2,1.5491613,2.6666667,0.84912294,0.84912294,0.51139158,2.1688259,21.43762,2,7,1.0911623,閔翔,1,0,3,2735,2745,-0.5,-1,0,-1,1,2024/8/16 下午 01:39:24,55,3,8163,3,25.0424463,121.5322938
38,2,1.5142466,3.6923077,1,1,0.57812965,1.5142466,89.247681,2.2222223,10,1.4379251,閔翔,1,0,91,2840,2905,0,-2,0,1,0,2024/8/16 下午 01:40:24,52,3,8163,91,25.0420397,121.5322508
39,3,1.5531402,4.3636365,1.2063863,1.2063863,0.627249,1.7084541,16.346945,2.0999999,11,1.3434201,閔翔,1,0,92,2959,2952,0,-1,0,0,1,2024/8/16 下午 01:41:30,61,3,8163,92,25.0416144,121.5322002
41,2,1.4854122,4.2105265,1.1191936,1.1191936,0.60985333,1.3711498,76.905556,2.2727273,12,1.5487748,閔翔,1,0,10,3036,3046,1,-2,-1,1,0,2024/8/16 下午 01:42:13,31,3,8163,10,25.0415709,121.5324018
16,3,1.4989992,5.915493,1.3873369,1.3873369,0.66087639,1.3324437,27.527857,2.2666667,16,1.6082193,閔翔,1,0,98,3132,3145,0,-1,-1,0,1,2024/8/16 下午 01:43:17,37,3,8163,98,25.0414703,121.5328007
17,4,1.5232575,7.7241378,1.6734514,1.6734514,0.70075864,1.3847796,27.863453,2.2105262,20,1.5743387,閔翔,1,0,99,3230,3240,-0.5,-1,-1,0,1,2024/8/16 下午 01:44:03,41,3,8163,99,25.0411445,121.532802
18,3,1.4791145,6.4000001,1.4666082,1.4666082,0.67273146,1.2678125,26.977301,2.2941177,18,1.664782,閔翔,1,0,106,3322,3329,1,1,1,1,1,2024/8/16 下午 01:44:58,50,3,8163,106,25.0408874,121.5328053
64,3,1.4524539,4.9411764,1.2241485,1.2241485,0.63241249,1.2708972,86.460815,2.3076923,14,1.6808264,閔翔,1,0,18,3429,3459,1,1,-1,1,0,2024/8/16 下午 01:46:22,79,3,8163,18,25.0408024,121.5323018
63,2,1.3993975,4.848485,1.2552096,1.2552096,0.63915122,1.1195179,39.423187,2.4000001,16,1.7939149,閔翔,1,0,17,3550,3604,1,0,-1,1,1,2024/8/16 下午 01:47:40,72,3,8163,17,25.0408152,121.53176
